#
#       site : https://molat.obspm.fr/index.php?page=pages/Molecules/CO-Rostas/view_data.php&fichier=T112C16O.txt
#
#       Table 1A. Absorption lines of 12C16O listed by rotational number (J") of
#                 the lower level.  
#
#       - column no 1 : (" between quotes ") band identification
#       - column no 2 : lower vibrational level
#       - column no 3 : lower rotational  level
#       - column no 4 : wavelength (in nm)
#       - column no 5 : wavenumber (in cm-1)
#       - column no 6 : oscillator strength
#       - column no 7 : upper state reciprocal lifetime (in s-1)
#       - column no 8 : upper state branching ratio towards dissociation
#
#       For more details concerning this table, please refer to page 234 of the paper by
#       Eidelsberg et al.(1991) which can be downloaded from this site. 
#
nb of lines:  3051
"C12O16 26   L' 3dp1P 1-0 Q( 1)"   0   1   96.8884 103211.55 6.199E-03 3.333E+11 1.000E+00
"C12O16 26   L' 3dp1P 1-0 R( 1)"   0   1   96.8816 103218.73 6.200E-03 3.333E+11 1.000E+00
"C12O16 27   K  4ps1S 0-0 P( 1)"   0   1   97.0395 103050.82 7.000E-03 1.000E+10 1.000E+00
"C12O16 27   K  4ps1S 0-0 R( 1)"   0   1   97.0287 103062.32 1.400E-02 1.000E+10 1.000E+00
"C12O16 28   W  3ss1P 0-0 Q( 1)"   0   1   97.2703 102806.28 6.031E-03 1.000E+10 1.000E+00
"C12O16 28   W  3ss1P 0-0 R( 1)"   0   1   97.2644 102812.52 6.032E-03 1.000E+10 1.000E+00
"C12O16 29   W'    3P 2-0 Q( 1)"   0   1   97.7419 102310.23 9.108E-04 1.000E+11 1.000E+00
"C12O16 29   W'    3P 2-0 R( 1)"   0   1   97.7361 102316.37 9.108E-04 1.000E+11 1.000E+00
"C12O16 30   F  3ds1S 1-0 P( 1)"   0   1   98.2629 101767.85 1.599E-04 3.333E+11 1.000E+00
"C12O16 30   F  3ds1S 1-0 R( 1)"   0   1   98.2521 101778.96 3.199E-04 3.333E+11 1.000E+00
"C12O16 31   J  4ss1S 0-0 P( 1)"   0   1   98.5638 101457.15 5.118E-03 1.000E+12 1.000E+00
"C12O16 31   J  4ss1S 0-0 R( 1)"   0   1   98.5525 101468.72 1.024E-02 1.000E+12 1.000E+00
"C12O16 32   G  3dp1P 0-0 Q( 1)"   0   1   98.9794 101031.08 2.307E-04 1.000E+11 1.000E+00
"C12O16 32   G  3dp1P 0-0 R( 1)"   0   1   98.9717 101038.93 2.307E-04 1.000E+11 1.000E+00
"C12O16 *    G'    3P 1-0 Q( 1)"   0   1   99.3531 100651.08 5.724E-06 1.000E+10 1.000E+00
"C12O16 *    G'    3P 1-0 R( 1)"   0   1   99.3472 100657.14 5.724E-06 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 4-0 P( 1)"   0   1   99.6143 100387.15 7.592E-05 1.000E+12 1.000E+00
"C12O16 *    C  3ps1S 4-0 R( 1)"   0   1   99.6034 100398.19 1.519E-04 1.000E+12 1.000E+00
"C12O16 33   F  3ds1S 0-0 P( 1)"   0   1  100.2628  99737.85 2.645E-03 3.333E+11 1.000E+00
"C12O16 33   F  3ds1S 0-0 R( 1)"   0   1  100.2519  99748.69 5.291E-03 3.333E+11 1.000E+00
"C12O16 34   V     3P 0-0 Q( 1)"   0   1  101.0925  98919.29 2.211E-05 1.000E+09 1.000E+00
"C12O16 34   V     3P 0-0 R( 1)"   0   1  101.0855  98926.17 2.212E-05 1.000E+09 1.000E+00
"C12O16 35   C  3ps1S 3-0 P( 1)"   0   1  101.7909  98240.60 1.454E-05 1.000E+09 1.000E+00
"C12O16 35   C  3ps1S 3-0 R( 1)"   0   1  101.7792  98251.87 2.909E-05 1.000E+09 1.000E+00
"C12O16 36   E  3pp1P 2-0 Q( 1)"   0   1  102.9296  97153.79 2.133E-05 1.000E+10 1.000E+00
"C12O16 36   E  3pp1P 2-0 R( 1)"   0   1  102.9215  97161.43 2.133E-05 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 2-0 P( 1)"   0   1  103.9792  96173.09 3.484E-06 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 2-0 R( 1)"   0   1  103.9668  96184.52 6.969E-06 1.000E+10 1.000E+00
"C12O16 37   E  3pp1P 1-0 Q( 1)"   0   1  105.1714  95082.89 1.236E-03 1.000E+10 9.800E-01
"C12O16 37   E  3pp1P 1-0 R( 1)"   0   1  105.1628  95090.65 1.236E-03 1.000E+10 9.800E-01
"C12O16 38   C  3ps1S 1-0 P( 1)"   0   1  106.3132  94061.72 9.232E-04 1.000E+09 6.000E-01
